"year","income_bracket","housing_burden","share","source"
"2024","Less than $10,000","Less than 20% of income","0.014447350386707879","ACS_B25074_B25095_1YR_5YR"
"2024","Less than $10,000","20% to 24% of income","0.008615264122180109","ACS_B25074_B25095_1YR_5YR"
"2024","Less than $10,000","25% to 29% of income","0.014335463839666577","ACS_B25074_B25095_1YR_5YR"
"2024","Less than $10,000","30% to 34% of income","0.008139746297254584","ACS_B25074_B25095_1YR_5YR"
"2024","Less than $10,000","35% to 39% of income","0.0006992909190081258","ACS_B25074_B25095_1YR_5YR"
"2024","Less than $10,000","40% to 49% of income","0.008405476846477671","ACS_B25074_B25095_1YR_5YR"
"2024","Less than $10,000","At least 50% of income","0.945357407588705","ACS_B25074_B25095_1YR_5YR"
"2024","$10,000 to $20,000","Less than 20% of income","0.02757076316732354","ACS_B25074_B25095_1YR_5YR"
"2024","$10,000 to $20,000","20% to 24% of income","0.025644930132568973","ACS_B25074_B25095_1YR_5YR"
"2024","$10,000 to $20,000","25% to 29% of income","0.07147079899677534","ACS_B25074_B25095_1YR_5YR"
"2024","$10,000 to $20,000","30% to 34% of income","0.0646721605159441","ACS_B25074_B25095_1YR_5YR"
"2024","$10,000 to $20,000","35% to 39% of income","0.04162486563955572","ACS_B25074_B25095_1YR_5YR"
"2024","$10,000 to $20,000","40% to 49% of income","0.04905051952705124","ACS_B25074_B25095_1YR_5YR"
"2024","$10,000 to $20,000","At least 50% of income","0.7199659620207811","ACS_B25074_B25095_1YR_5YR"
"2024","$20,000 to $35,000","Less than 20% of income","0.05666947739722059","ACS_B25074_B25095_1YR_5YR"
"2024","$20,000 to $35,000","20% to 24% of income","0.034366008612421714","ACS_B25074_B25095_1YR_5YR"
"2024","$20,000 to $35,000","25% to 29% of income","0.05446165927508899","ACS_B25074_B25095_1YR_5YR"
"2024","$20,000 to $35,000","30% to 34% of income","0.046512226677909586","ACS_B25074_B25095_1YR_5YR"
"2024","$20,000 to $35,000","35% to 39% of income","0.046814755691729375","ACS_B25074_B25095_1YR_5YR"
"2024","$20,000 to $35,000","40% to 49% of income","0.07573524205539499","ACS_B25074_B25095_1YR_5YR"
"2024","$20,000 to $35,000","At least 50% of income","0.6854406302902347","ACS_B25074_B25095_1YR_5YR"
"2024","$35,000 to $50,000","Less than 20% of income","0.101948121974892","ACS_B25074_B25095_1YR_5YR"
"2024","$35,000 to $50,000","20% to 24% of income","0.05156718832268665","ACS_B25074_B25095_1YR_5YR"
"2024","$35,000 to $50,000","25% to 29% of income","0.06585933683923395","ACS_B25074_B25095_1YR_5YR"
"2024","$35,000 to $50,000","30% to 34% of income","0.05855150058044012","ACS_B25074_B25095_1YR_5YR"
"2024","$35,000 to $50,000","35% to 39% of income","0.052683663306669036","ACS_B25074_B25095_1YR_5YR"
"2024","$35,000 to $50,000","40% to 49% of income","0.12944131845545837","ACS_B25074_B25095_1YR_5YR"
"2024","$35,000 to $50,000","At least 50% of income","0.5399488705206199","ACS_B25074_B25095_1YR_5YR"
"2024","$50,000 to $75,000","Less than 20% of income","0.155762257035103","ACS_B25074_B25095_1YR_5YR"
"2024","$50,000 to $75,000","20% to 24% of income","0.07440165361183639","ACS_B25074_B25095_1YR_5YR"
"2024","$50,000 to $75,000","25% to 29% of income","0.06451987235277053","ACS_B25074_B25095_1YR_5YR"
"2024","$50,000 to $75,000","30% to 34% of income","0.08614374818682913","ACS_B25074_B25095_1YR_5YR"
"2024","$50,000 to $75,000","35% to 39% of income","0.09469103568320278","ACS_B25074_B25095_1YR_5YR"
"2024","$50,000 to $75,000","40% to 49% of income","0.20233899042645778","ACS_B25074_B25095_1YR_5YR"
"2024","$50,000 to $75,000","At least 50% of income","0.3221424427038004","ACS_B25074_B25095_1YR_5YR"
"2024","$75,000 to $100,000","Less than 20% of income","0.21421706975207114","ACS_B25074_B25095_1YR_5YR"
"2024","$75,000 to $100,000","20% to 24% of income","0.093109119846844","ACS_B25074_B25095_1YR_5YR"
"2024","$75,000 to $100,000","25% to 29% of income","0.11852496191991978","ACS_B25074_B25095_1YR_5YR"
"2024","$75,000 to $100,000","30% to 34% of income","0.14886747372379502","ACS_B25074_B25095_1YR_5YR"
"2024","$75,000 to $100,000","35% to 39% of income","0.13000786291930821","ACS_B25074_B25095_1YR_5YR"
"2024","$75,000 to $100,000","40% to 49% of income","0.15311800836432285","ACS_B25074_B25095_1YR_5YR"
"2024","$75,000 to $100,000","At least 50% of income","0.14215550347373898","ACS_B25074_B25095_1YR_5YR"
"2024","$100,000 or more","Less than 20% of income","0.5725091615067376","ACS_B25074_B25095_1YR_5YR"
"2024","$100,000 or more","20% to 24% of income","0.1563280451240106","ACS_B25074_B25095_1YR_5YR"
"2024","$100,000 or more","25% to 29% of income","0.10874564900228607","ACS_B25074_B25095_1YR_5YR"
"2024","$100,000 or more","30% to 34% of income","0.06478707394685752","ACS_B25074_B25095_1YR_5YR"
"2024","$100,000 or more","35% to 39% of income","0.03724454043125137","ACS_B25074_B25095_1YR_5YR"
"2024","$100,000 or more","40% to 49% of income","0.03384932624154212","ACS_B25074_B25095_1YR_5YR"
"2024","$100,000 or more","At least 50% of income","0.026536203747314732","ACS_B25074_B25095_1YR_5YR"
