"county","year","income_bracket","housing_burden","share","source"
"Alameda","2,024","Less than $10,000","Less than 20% of income","0.02451174639","ACS_B25074_B25095_1YR"
"Alameda","2,024","Less than $10,000","20% to 24% of income","0.00837814888","ACS_B25074_B25095_1YR"
"Alameda","2,024","Less than $10,000","25% to 29% of income","0.02807812058","ACS_B25074_B25095_1YR"
"Alameda","2,024","Less than $10,000","30% to 34% of income","0.02196433626","ACS_B25074_B25095_1YR"
"Alameda","2,024","Less than $10,000","35% to 39% of income","0","ACS_B25074_B25095_1YR"
"Alameda","2,024","Less than $10,000","40% to 49% of income","0.00667987546","ACS_B25074_B25095_1YR"
"Alameda","2,024","Less than $10,000","At least 50% of income","0.91038777243","ACS_B25074_B25095_1YR"
"Alameda","2,024","$10,000 to $20,000","Less than 20% of income","0.03537161678","ACS_B25074_B25095_1YR"
"Alameda","2,024","$10,000 to $20,000","20% to 24% of income","0.00830588572","ACS_B25074_B25095_1YR"
"Alameda","2,024","$10,000 to $20,000","25% to 29% of income","0.05985965917","ACS_B25074_B25095_1YR"
"Alameda","2,024","$10,000 to $20,000","30% to 34% of income","0.06114850351","ACS_B25074_B25095_1YR"
"Alameda","2,024","$10,000 to $20,000","35% to 39% of income","0.02574108549","ACS_B25074_B25095_1YR"
"Alameda","2,024","$10,000 to $20,000","40% to 49% of income","0.04722182443","ACS_B25074_B25095_1YR"
"Alameda","2,024","$10,000 to $20,000","At least 50% of income","0.76235142489","ACS_B25074_B25095_1YR"
"Alameda","2,024","$20,000 to $35,000","Less than 20% of income","0.06320754717","ACS_B25074_B25095_1YR"
"Alameda","2,024","$20,000 to $35,000","20% to 24% of income","0.04115902965","ACS_B25074_B25095_1YR"
"Alameda","2,024","$20,000 to $35,000","25% to 29% of income","0.05385444744","ACS_B25074_B25095_1YR"
"Alameda","2,024","$20,000 to $35,000","30% to 34% of income","0.03474393531","ACS_B25074_B25095_1YR"
"Alameda","2,024","$20,000 to $35,000","35% to 39% of income","0.02622641509","ACS_B25074_B25095_1YR"
"Alameda","2,024","$20,000 to $35,000","40% to 49% of income","0.08962264151","ACS_B25074_B25095_1YR"
"Alameda","2,024","$20,000 to $35,000","At least 50% of income","0.69118598383","ACS_B25074_B25095_1YR"
"Alameda","2,024","$35,000 to $50,000","Less than 20% of income","0.10037987483","ACS_B25074_B25095_1YR"
"Alameda","2,024","$35,000 to $50,000","20% to 24% of income","0.07862589161","ACS_B25074_B25095_1YR"
"Alameda","2,024","$35,000 to $50,000","25% to 29% of income","0.05219862808","ACS_B25074_B25095_1YR"
"Alameda","2,024","$35,000 to $50,000","30% to 34% of income","0.03801481239","ACS_B25074_B25095_1YR"
"Alameda","2,024","$35,000 to $50,000","35% to 39% of income","0.06034270722","ACS_B25074_B25095_1YR"
"Alameda","2,024","$35,000 to $50,000","40% to 49% of income","0.12483944139","ACS_B25074_B25095_1YR"
"Alameda","2,024","$35,000 to $50,000","At least 50% of income","0.54559864448","ACS_B25074_B25095_1YR"
"Alameda","2,024","$50,000 to $75,000","Less than 20% of income","0.15631061684","ACS_B25074_B25095_1YR"
"Alameda","2,024","$50,000 to $75,000","20% to 24% of income","0.07327363248","ACS_B25074_B25095_1YR"
"Alameda","2,024","$50,000 to $75,000","25% to 29% of income","0.06637139532","ACS_B25074_B25095_1YR"
"Alameda","2,024","$50,000 to $75,000","30% to 34% of income","0.07464761412","ACS_B25074_B25095_1YR"
"Alameda","2,024","$50,000 to $75,000","35% to 39% of income","0.10085025217","ACS_B25074_B25095_1YR"
"Alameda","2,024","$50,000 to $75,000","40% to 49% of income","0.20595176516","ACS_B25074_B25095_1YR"
"Alameda","2,024","$50,000 to $75,000","At least 50% of income","0.32259472391","ACS_B25074_B25095_1YR"
"Alameda","2,024","$75,000 to $100,000","Less than 20% of income","0.19586933764","ACS_B25074_B25095_1YR"
"Alameda","2,024","$75,000 to $100,000","20% to 24% of income","0.11620149399","ACS_B25074_B25095_1YR"
"Alameda","2,024","$75,000 to $100,000","25% to 29% of income","0.1279476215","ACS_B25074_B25095_1YR"
"Alameda","2,024","$75,000 to $100,000","30% to 34% of income","0.15367554428","ACS_B25074_B25095_1YR"
"Alameda","2,024","$75,000 to $100,000","35% to 39% of income","0.12155999929","ACS_B25074_B25095_1YR"
"Alameda","2,024","$75,000 to $100,000","40% to 49% of income","0.15520147625","ACS_B25074_B25095_1YR"
"Alameda","2,024","$75,000 to $100,000","At least 50% of income","0.12954452705","ACS_B25074_B25095_1YR"
"Alameda","2,024","$100,000 or more","Less than 20% of income","0.55856050472","ACS_B25074_B25095_1YR"
"Alameda","2,024","$100,000 or more","20% to 24% of income","0.17208249901","ACS_B25074_B25095_1YR"
"Alameda","2,024","$100,000 or more","25% to 29% of income","0.11201951971","ACS_B25074_B25095_1YR"
"Alameda","2,024","$100,000 or more","30% to 34% of income","0.06881195111","ACS_B25074_B25095_1YR"
"Alameda","2,024","$100,000 or more","35% to 39% of income","0.03503466077","ACS_B25074_B25095_1YR"
"Alameda","2,024","$100,000 or more","40% to 49% of income","0.03137056147","ACS_B25074_B25095_1YR"
"Alameda","2,024","$100,000 or more","At least 50% of income","0.02212030321","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","Less than $10,000","Less than 20% of income","0.01521692208","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","Less than $10,000","20% to 24% of income","0","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","Less than $10,000","25% to 29% of income","0","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","Less than $10,000","30% to 34% of income","0","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","Less than $10,000","35% to 39% of income","0.00453270019","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","Less than $10,000","40% to 49% of income","0","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","Less than $10,000","At least 50% of income","0.98025037773","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$10,000 to $20,000","Less than 20% of income","0.00415588489","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$10,000 to $20,000","20% to 24% of income","0.03952011291","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$10,000 to $20,000","25% to 29% of income","0.0544969811","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$10,000 to $20,000","30% to 34% of income","0.08076531012","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$10,000 to $20,000","35% to 39% of income","0.02728769701","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$10,000 to $20,000","40% to 49% of income","0.03081627852","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$10,000 to $20,000","At least 50% of income","0.76295773543","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$20,000 to $35,000","Less than 20% of income","0.05963493443","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$20,000 to $35,000","20% to 24% of income","0.02804126828","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$20,000 to $35,000","25% to 29% of income","0.06813801444","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$20,000 to $35,000","30% to 34% of income","0.03321869922","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$20,000 to $35,000","35% to 39% of income","0.05619591096","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$20,000 to $35,000","40% to 49% of income","0.04553871736","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$20,000 to $35,000","At least 50% of income","0.70923245531","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$35,000 to $50,000","Less than 20% of income","0.09031040437","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$35,000 to $50,000","20% to 24% of income","0.04629964261","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$35,000 to $50,000","25% to 29% of income","0.08753965386","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$35,000 to $50,000","30% to 34% of income","0.05188129944","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$35,000 to $50,000","35% to 39% of income","0.04862867928","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$35,000 to $50,000","40% to 49% of income","0.14042484841","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$35,000 to $50,000","At least 50% of income","0.53491547203","ACS_B25074_B25095_1YR"
"Contra Costa","2,024","$50,000 to $75,000","Less than 20% of income","0.12908489427","ACS_B25074_B25095_1YR"
