"county","year","household_type","housing_burden","share","source"
"Alameda","2,009","All","Less than 20% of income","0.30035739758","ACS_B25074_B25095_1YR"
"Contra Costa","2,009","All","Less than 20% of income","0.29780423788","ACS_B25074_B25095_1YR"
"Marin","2,009","All","Less than 20% of income","0.34415141981","ACS_B25074_B25095_1YR"
"Napa","2,009","All","Less than 20% of income","0.36467273236","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,009","All","Less than 20% of income","0.34645173398","ACS_B25074_B25095_1YR"
"San Mateo","2,009","All","Less than 20% of income","0.33129857284","ACS_B25074_B25095_1YR"
"Santa Clara","2,009","All","Less than 20% of income","0.32356768568","ACS_B25074_B25095_1YR"
"Solano","2,009","All","Less than 20% of income","0.2979482344","ACS_B25074_B25095_1YR"
"Sonoma","2,009","All","Less than 20% of income","0.28750696205","ACS_B25074_B25095_1YR"
"Alameda","2,009","All","20% to 34% of income","0.34754213028","ACS_B25074_B25095_1YR"
"Contra Costa","2,009","All","20% to 34% of income","0.32616071453","ACS_B25074_B25095_1YR"
"Marin","2,009","All","20% to 34% of income","0.29083585499","ACS_B25074_B25095_1YR"
"Napa","2,009","All","20% to 34% of income","0.32771934353","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,009","All","20% to 34% of income","0.30223001148","ACS_B25074_B25095_1YR"
"San Mateo","2,009","All","20% to 34% of income","0.30196814631","ACS_B25074_B25095_1YR"
"Santa Clara","2,009","All","20% to 34% of income","0.33348584909","ACS_B25074_B25095_1YR"
"Solano","2,009","All","20% to 34% of income","0.3188752202","ACS_B25074_B25095_1YR"
"Sonoma","2,009","All","20% to 34% of income","0.33371222024","ACS_B25074_B25095_1YR"
"Alameda","2,009","All","At least 35% of income","0.35210047214","ACS_B25074_B25095_1YR"
"Contra Costa","2,009","All","At least 35% of income","0.37603504758","ACS_B25074_B25095_1YR"
"Marin","2,009","All","At least 35% of income","0.3650127252","ACS_B25074_B25095_1YR"
"Napa","2,009","All","At least 35% of income","0.30760792411","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,009","All","At least 35% of income","0.35131825454","ACS_B25074_B25095_1YR"
"San Mateo","2,009","All","At least 35% of income","0.36673328085","ACS_B25074_B25095_1YR"
"Santa Clara","2,009","All","At least 35% of income","0.34294646523","ACS_B25074_B25095_1YR"
"Solano","2,009","All","At least 35% of income","0.3831765454","ACS_B25074_B25095_1YR"
"Sonoma","2,009","All","At least 35% of income","0.37878081771","ACS_B25074_B25095_1YR"
"Alameda","2,010","All","Less than 20% of income","0.29960040055","ACS_B25074_B25095_1YR"
"Contra Costa","2,010","All","Less than 20% of income","0.28620338157","ACS_B25074_B25095_1YR"
"Marin","2,010","All","Less than 20% of income","0.30315919187","ACS_B25074_B25095_1YR"
"Napa","2,010","All","Less than 20% of income","0.29510907588","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,010","All","Less than 20% of income","0.33580863427","ACS_B25074_B25095_1YR"
"San Mateo","2,010","All","Less than 20% of income","0.31692674211","ACS_B25074_B25095_1YR"
"Santa Clara","2,010","All","Less than 20% of income","0.33953641223","ACS_B25074_B25095_1YR"
"Solano","2,010","All","Less than 20% of income","0.28461393132","ACS_B25074_B25095_1YR"
"Sonoma","2,010","All","Less than 20% of income","0.2723272283","ACS_B25074_B25095_1YR"
"Alameda","2,010","All","20% to 34% of income","0.32729960422","ACS_B25074_B25095_1YR"
"Contra Costa","2,010","All","20% to 34% of income","0.35038059255","ACS_B25074_B25095_1YR"
"Marin","2,010","All","20% to 34% of income","0.27372375207","ACS_B25074_B25095_1YR"
"Napa","2,010","All","20% to 34% of income","0.35256206407","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,010","All","20% to 34% of income","0.32097840662","ACS_B25074_B25095_1YR"
"San Mateo","2,010","All","20% to 34% of income","0.33107405202","ACS_B25074_B25095_1YR"
"Santa Clara","2,010","All","20% to 34% of income","0.32168829997","ACS_B25074_B25095_1YR"
"Solano","2,010","All","20% to 34% of income","0.3409365054","ACS_B25074_B25095_1YR"
"Sonoma","2,010","All","20% to 34% of income","0.32017425051","ACS_B25074_B25095_1YR"
"Alameda","2,010","All","At least 35% of income","0.37309999523","ACS_B25074_B25095_1YR"
"Contra Costa","2,010","All","At least 35% of income","0.36341602588","ACS_B25074_B25095_1YR"
"Marin","2,010","All","At least 35% of income","0.42311705606","ACS_B25074_B25095_1YR"
"Napa","2,010","All","At least 35% of income","0.35232886006","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,010","All","At least 35% of income","0.34321295911","ACS_B25074_B25095_1YR"
"San Mateo","2,010","All","At least 35% of income","0.35199920588","ACS_B25074_B25095_1YR"
"Santa Clara","2,010","All","At least 35% of income","0.33877528781","ACS_B25074_B25095_1YR"
"Solano","2,010","All","At least 35% of income","0.37444956328","ACS_B25074_B25095_1YR"
"Sonoma","2,010","All","At least 35% of income","0.40749852119","ACS_B25074_B25095_1YR"
"Alameda","2,011","All","Less than 20% of income","0.29457918337","ACS_B25074_B25095_1YR"
"Contra Costa","2,011","All","Less than 20% of income","0.28945180587","ACS_B25074_B25095_1YR"
"Marin","2,011","All","Less than 20% of income","0.28410759914","ACS_B25074_B25095_1YR"
"Napa","2,011","All","Less than 20% of income","0.31710294317","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,011","All","Less than 20% of income","0.3248244225","ACS_B25074_B25095_1YR"
"San Mateo","2,011","All","Less than 20% of income","0.32429170119","ACS_B25074_B25095_1YR"
"Santa Clara","2,011","All","Less than 20% of income","0.34683106586","ACS_B25074_B25095_1YR"
"Solano","2,011","All","Less than 20% of income","0.30726530732","ACS_B25074_B25095_1YR"
"Sonoma","2,011","All","Less than 20% of income","0.2923384912","ACS_B25074_B25095_1YR"
"Alameda","2,011","All","20% to 34% of income","0.34099968698","ACS_B25074_B25095_1YR"
"Contra Costa","2,011","All","20% to 34% of income","0.34507009833","ACS_B25074_B25095_1YR"
"Marin","2,011","All","20% to 34% of income","0.32880309036","ACS_B25074_B25095_1YR"
"Napa","2,011","All","20% to 34% of income","0.32718477327","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,011","All","20% to 34% of income","0.31690983597","ACS_B25074_B25095_1YR"
"San Mateo","2,011","All","20% to 34% of income","0.31631636816","ACS_B25074_B25095_1YR"
"Santa Clara","2,011","All","20% to 34% of income","0.32564597212","ACS_B25074_B25095_1YR"
"Solano","2,011","All","20% to 34% of income","0.33757277009","ACS_B25074_B25095_1YR"
"Sonoma","2,011","All","20% to 34% of income","0.3377839629","ACS_B25074_B25095_1YR"
"Alameda","2,011","All","At least 35% of income","0.36442112964","ACS_B25074_B25095_1YR"
"Contra Costa","2,011","All","At least 35% of income","0.3654780958","ACS_B25074_B25095_1YR"
"Marin","2,011","All","At least 35% of income","0.3870893105","ACS_B25074_B25095_1YR"
"Napa","2,011","All","At least 35% of income","0.35571228356","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,011","All","At least 35% of income","0.35826574154","ACS_B25074_B25095_1YR"
"San Mateo","2,011","All","At least 35% of income","0.35939193065","ACS_B25074_B25095_1YR"
"Santa Clara","2,011","All","At least 35% of income","0.32752296201","ACS_B25074_B25095_1YR"
"Solano","2,011","All","At least 35% of income","0.35516192259","ACS_B25074_B25095_1YR"
"Sonoma","2,011","All","At least 35% of income","0.3698775459","ACS_B25074_B25095_1YR"
"Alameda","2,012","All","Less than 20% of income","0.31532746126","ACS_B25074_B25095_1YR"
"Contra Costa","2,012","All","Less than 20% of income","0.31684732123","ACS_B25074_B25095_1YR"
"Marin","2,012","All","Less than 20% of income","0.35643643324","ACS_B25074_B25095_1YR"
"Napa","2,012","All","Less than 20% of income","0.33827582523","ACS_B25074_B25095_1YR"
"San Francisco","2,012","All","Less than 20% of income","0.33448994788","ACS_B25074_B25095_1YR"
"San Mateo","2,012","All","Less than 20% of income","0.32809779997","ACS_B25074_B25095_1YR"
"Santa Clara","2,012","All","Less than 20% of income","0.35037670279","ACS_B25074_B25095_1YR"
"Solano","2,012","All","Less than 20% of income","0.30917930568","ACS_B25074_B25095_1YR"
"Sonoma","2,012","All","Less than 20% of income","0.31055215339","ACS_B25074_B25095_1YR"
"Alameda","2,012","All","20% to 34% of income","0.34230265775","ACS_B25074_B25095_1YR"
"Contra Costa","2,012","All","20% to 34% of income","0.33476197232","ACS_B25074_B25095_1YR"
"Marin","2,012","All","20% to 34% of income","0.29344791833","ACS_B25074_B25095_1YR"
"Napa","2,012","All","20% to 34% of income","0.31964533704","ACS_B25074_B25095_1YR"
"San Francisco","2,012","All","20% to 34% of income","0.31310498883","ACS_B25074_B25095_1YR"
"San Mateo","2,012","All","20% to 34% of income","0.30896867345","ACS_B25074_B25095_1YR"
"Santa Clara","2,012","All","20% to 34% of income","0.33346486981","ACS_B25074_B25095_1YR"
"Solano","2,012","All","20% to 34% of income","0.35214348524","ACS_B25074_B25095_1YR"
"Sonoma","2,012","All","20% to 34% of income","0.31984665192","ACS_B25074_B25095_1YR"
"Alameda","2,012","All","At least 35% of income","0.342369881","ACS_B25074_B25095_1YR"
"Contra Costa","2,012","All","At least 35% of income","0.34839070644","ACS_B25074_B25095_1YR"
"Marin","2,012","All","At least 35% of income","0.35011564843","ACS_B25074_B25095_1YR"
"Napa","2,012","All","At least 35% of income","0.34207883773","ACS_B25074_B25095_1YR"
"San Francisco","2,012","All","At least 35% of income","0.35240506329","ACS_B25074_B25095_1YR"
"San Mateo","2,012","All","At least 35% of income","0.36293352658","ACS_B25074_B25095_1YR"
"Santa Clara","2,012","All","At least 35% of income","0.3161584274","ACS_B25074_B25095_1YR"
