"year","income_bracket","housing_burden","share","source"
"2,024","Less than $10,000","Less than 20% of income","0.01444735039","ACS_B25074_B25095_1YR_5YR"
"2,024","Less than $10,000","20% to 24% of income","0.00861526412","ACS_B25074_B25095_1YR_5YR"
"2,024","Less than $10,000","25% to 29% of income","0.01433546384","ACS_B25074_B25095_1YR_5YR"
"2,024","Less than $10,000","30% to 34% of income","0.0081397463","ACS_B25074_B25095_1YR_5YR"
"2,024","Less than $10,000","35% to 39% of income","0.00069929092","ACS_B25074_B25095_1YR_5YR"
"2,024","Less than $10,000","40% to 49% of income","0.00840547685","ACS_B25074_B25095_1YR_5YR"
"2,024","Less than $10,000","At least 50% of income","0.94535740759","ACS_B25074_B25095_1YR_5YR"
"2,024","$10,000 to $20,000","Less than 20% of income","0.02757076317","ACS_B25074_B25095_1YR_5YR"
"2,024","$10,000 to $20,000","20% to 24% of income","0.02564493013","ACS_B25074_B25095_1YR_5YR"
"2,024","$10,000 to $20,000","25% to 29% of income","0.071470799","ACS_B25074_B25095_1YR_5YR"
"2,024","$10,000 to $20,000","30% to 34% of income","0.06467216052","ACS_B25074_B25095_1YR_5YR"
"2,024","$10,000 to $20,000","35% to 39% of income","0.04162486564","ACS_B25074_B25095_1YR_5YR"
"2,024","$10,000 to $20,000","40% to 49% of income","0.04905051953","ACS_B25074_B25095_1YR_5YR"
"2,024","$10,000 to $20,000","At least 50% of income","0.71996596202","ACS_B25074_B25095_1YR_5YR"
"2,024","$20,000 to $35,000","Less than 20% of income","0.0566694774","ACS_B25074_B25095_1YR_5YR"
"2,024","$20,000 to $35,000","20% to 24% of income","0.03436600861","ACS_B25074_B25095_1YR_5YR"
"2,024","$20,000 to $35,000","25% to 29% of income","0.05446165928","ACS_B25074_B25095_1YR_5YR"
"2,024","$20,000 to $35,000","30% to 34% of income","0.04651222668","ACS_B25074_B25095_1YR_5YR"
"2,024","$20,000 to $35,000","35% to 39% of income","0.04681475569","ACS_B25074_B25095_1YR_5YR"
"2,024","$20,000 to $35,000","40% to 49% of income","0.07573524206","ACS_B25074_B25095_1YR_5YR"
"2,024","$20,000 to $35,000","At least 50% of income","0.68544063029","ACS_B25074_B25095_1YR_5YR"
"2,024","$35,000 to $50,000","Less than 20% of income","0.10194812197","ACS_B25074_B25095_1YR_5YR"
"2,024","$35,000 to $50,000","20% to 24% of income","0.05156718832","ACS_B25074_B25095_1YR_5YR"
"2,024","$35,000 to $50,000","25% to 29% of income","0.06585933684","ACS_B25074_B25095_1YR_5YR"
"2,024","$35,000 to $50,000","30% to 34% of income","0.05855150058","ACS_B25074_B25095_1YR_5YR"
"2,024","$35,000 to $50,000","35% to 39% of income","0.05268366331","ACS_B25074_B25095_1YR_5YR"
"2,024","$35,000 to $50,000","40% to 49% of income","0.12944131846","ACS_B25074_B25095_1YR_5YR"
"2,024","$35,000 to $50,000","At least 50% of income","0.53994887052","ACS_B25074_B25095_1YR_5YR"
"2,024","$50,000 to $75,000","Less than 20% of income","0.15576225704","ACS_B25074_B25095_1YR_5YR"
"2,024","$50,000 to $75,000","20% to 24% of income","0.07440165361","ACS_B25074_B25095_1YR_5YR"
"2,024","$50,000 to $75,000","25% to 29% of income","0.06451987235","ACS_B25074_B25095_1YR_5YR"
"2,024","$50,000 to $75,000","30% to 34% of income","0.08614374819","ACS_B25074_B25095_1YR_5YR"
"2,024","$50,000 to $75,000","35% to 39% of income","0.09469103568","ACS_B25074_B25095_1YR_5YR"
"2,024","$50,000 to $75,000","40% to 49% of income","0.20233899043","ACS_B25074_B25095_1YR_5YR"
"2,024","$50,000 to $75,000","At least 50% of income","0.3221424427","ACS_B25074_B25095_1YR_5YR"
"2,024","$75,000 to $100,000","Less than 20% of income","0.21421706975","ACS_B25074_B25095_1YR_5YR"
"2,024","$75,000 to $100,000","20% to 24% of income","0.09310911985","ACS_B25074_B25095_1YR_5YR"
"2,024","$75,000 to $100,000","25% to 29% of income","0.11852496192","ACS_B25074_B25095_1YR_5YR"
"2,024","$75,000 to $100,000","30% to 34% of income","0.14886747372","ACS_B25074_B25095_1YR_5YR"
"2,024","$75,000 to $100,000","35% to 39% of income","0.13000786292","ACS_B25074_B25095_1YR_5YR"
"2,024","$75,000 to $100,000","40% to 49% of income","0.15311800836","ACS_B25074_B25095_1YR_5YR"
"2,024","$75,000 to $100,000","At least 50% of income","0.14215550347","ACS_B25074_B25095_1YR_5YR"
"2,024","$100,000 or more","Less than 20% of income","0.57250916151","ACS_B25074_B25095_1YR_5YR"
"2,024","$100,000 or more","20% to 24% of income","0.15632804512","ACS_B25074_B25095_1YR_5YR"
"2,024","$100,000 or more","25% to 29% of income","0.108745649","ACS_B25074_B25095_1YR_5YR"
"2,024","$100,000 or more","30% to 34% of income","0.06478707395","ACS_B25074_B25095_1YR_5YR"
"2,024","$100,000 or more","35% to 39% of income","0.03724454043","ACS_B25074_B25095_1YR_5YR"
"2,024","$100,000 or more","40% to 49% of income","0.03384932624","ACS_B25074_B25095_1YR_5YR"
"2,024","$100,000 or more","At least 50% of income","0.02653620375","ACS_B25074_B25095_1YR_5YR"
