"year","household_type","housing_burden","share","source"
"2,009","All","Less than 20% of income","0.31632610824","ACS_B25074_B25095_1YR_5YR"
"2,009","All","20% to 34% of income","0.32553400958","ACS_B25074_B25095_1YR_5YR"
"2,009","All","At least 35% of income","0.35813988218","ACS_B25074_B25095_1YR_5YR"
"2,010","All","Less than 20% of income","0.31068434416","ACS_B25074_B25095_1YR_5YR"
"2,010","All","20% to 34% of income","0.32742895221","ACS_B25074_B25095_1YR_5YR"
"2,010","All","At least 35% of income","0.36188670363","ACS_B25074_B25095_1YR_5YR"
"2,011","All","Less than 20% of income","0.31351358183","ACS_B25074_B25095_1YR_5YR"
"2,011","All","20% to 34% of income","0.33126379206","ACS_B25074_B25095_1YR_5YR"
"2,011","All","At least 35% of income","0.35522262611","ACS_B25074_B25095_1YR_5YR"
"2,012","All","Less than 20% of income","0.3289195198","ACS_B25074_B25095_1YR"
"2,012","All","20% to 34% of income","0.32864321804","ACS_B25074_B25095_1YR"
"2,012","All","At least 35% of income","0.34243726216","ACS_B25074_B25095_1YR"
"2,013","All","Less than 20% of income","0.35614505601","ACS_B25074_B25095_1YR"
"2,013","All","20% to 34% of income","0.32080444678","ACS_B25074_B25095_1YR"
"2,013","All","At least 35% of income","0.32305049721","ACS_B25074_B25095_1YR"
"2,014","All","Less than 20% of income","0.36568978262","ACS_B25074_B25095_1YR_5YR"
"2,014","All","20% to 34% of income","0.32128204756","ACS_B25074_B25095_1YR_5YR"
"2,014","All","At least 35% of income","0.31302816982","ACS_B25074_B25095_1YR_5YR"
"2,015","All","Less than 20% of income","0.37298276426","ACS_B25074_B25095_1YR_5YR"
"2,015","All","20% to 34% of income","0.32065336806","ACS_B25074_B25095_1YR_5YR"
"2,015","All","At least 35% of income","0.30636386769","ACS_B25074_B25095_1YR_5YR"
"2,016","All","Less than 20% of income","0.38170964866","ACS_B25074_B25095_1YR_5YR"
"2,016","All","20% to 34% of income","0.31952950787","ACS_B25074_B25095_1YR_5YR"
"2,016","All","At least 35% of income","0.29876084347","ACS_B25074_B25095_1YR_5YR"
"2,017","All","Less than 20% of income","0.38160366566","ACS_B25074_B25095_1YR_5YR"
"2,017","All","20% to 34% of income","0.32268660963","ACS_B25074_B25095_1YR_5YR"
"2,017","All","At least 35% of income","0.29570972471","ACS_B25074_B25095_1YR_5YR"
"2,018","All","Less than 20% of income","0.39978286684","ACS_B25074_B25095_1YR_5YR"
